,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7,labels_8,labels_9
21,DYNLL1,DLD,DYNLL2,CYP2A13,ECI2,CTF1,DAGLA,CDC6,EIF4A3,CERS6
22,EEF2,EEF1A1,EIF3B,CYP2A6,EEF1A2,CTH,DBNL,CHD1,EIF5B,COQ3
23,EIF3F,EIF2B4,EIF4A1,CYP2E1,EIF1B,CYB5R2,DCUN1D5,CNOT6,ELOC,DCXR
24,FABP3,ERCC2,EIF5A2,CYP4X1,EIF3K,CYP2C8,DHX37,CYP2F1,FADS3,DDX39A
25,FABP7,FOXM1,ERBB2,DCUN1D2,EPS8,CYP2C9,EGFR,DCAF11,FBXO9,DGKI
26,FMO2,GABARAPL2,EZH1,DEGS2,EZH2,DDX11,ELAVL2,DGKZ,FGF21,DICER1
27,GABARAP,GCLM,FABP12,DENND6A,FBP2,DUSP12,ELP3,DYNC2H1,FH,DNM1L
28,GLUD1,GNA12,FABP9,DHRS3,FGF23,EIF2AK4,ERBB4,E4F1,FN1,EEF1E1
29,GNG7,GNAT3,FADS2,ELP1,FIG4,EIF4EBP1,ERCC4,EIF2S3,GCLC,EIF2B5
30,GOT1,GNG12,GNA13,ERCC1,FOLH1,EIF4EBP2,ERN1,ERO1B,GDI1,EIF3A
31,HDLBP,GSTP1,GPT,FMO5,GNA14,FMO4,ERO1A,EXOSC5,GNMT,ELAVL1
32,HOOK3,HCFC2,GPX2,GABARAPL1,GNAI3,FZR1,FBP1,FBXW11,GPX1,ERBB3
33,HSPA2,HRAS,GTF2F1,GNA11,GNAL,GH1,FXN,FEN1,GPX8,FADS1
34,HSPA8,HSPA1A,HAT1,GNAI2,GNAT1,GHRH,GAPDHS,FIS1,HDAC2,GART
35,HTR1B,HUS1B,HSD17B4,GNAT2,GNAZ,GLIPR1,GDI2,FMO3,HPGDS,GATB
36,IDH3G,IFT52,HUS1,GPD2,HNRNPD,GNA15,GOT2,GAPDH,HSPA5,GCK
37,IDNK,IGF1,ING1,HNRNPA1,HOOK1,GSK3B,GPT2,GDF11,HSPA9,GHR
38,IFT88,ILK,KRIT1,HOOK2,HSPA1L,GYS2,GPX4,GDF15,IDH2,GNAI1
39,INSRR,INMT,LSM6,IDH3A,HSPA6,HHAT,GPX5,GIPC1,LMNA,GNAO1
40,ISCA1,ITGB1,MAGOHB,LARS2,HSPG2,IFT122,GPX7,GLUD2,MECR,GNAQ
41,KDM4C,JAK2,MAT2A,LONP1,IARS2,IGF1R,GYS1,GPD1,MSRA,GNAS
42,LSM7,KCNA3,MDH1,LTV1,IDH1,IRS1,HNRNPA2B1,GRB2,MTCH1,GTF2H1
43,MAPK14,KL,MLXIPL,MAD2L1,IDO2,KIF17,IFT22,HDAC1,MTHFD2,HCCS
44,MAPK8,KYNU,MRPL1,MAGT1,IFT140,KRAS,IFT80,HIBADH,NAALAD2,HELLS
45,MCM2,MAGOH,MRPL24,MAP2K1,JAK1,LCP1,IRS2,IDH3B,PAPPA,HNRNPA1L2
46,NADSYN1,MAN1A1,MSH6,MAP2K4,JUND,LRIG1,ITPR3,IFT172,PCBP1,HNRNPA3
47,NCBP2,MAN1A2,MSTN,MAPK1,LIPF,MPV17L2,KIN,IFT57,PDHA1,HNRNPDL
48,NDUFS8,MAPK10,NCOR2,MAPK11,MAN1B1,MRPS9,LBR,IMPA2,PGLS,IDO1
49,NOB1,MAPK12,NDUFS2,MAPK9,MIF,MSH2,MAP2K2,ITPR2,PPAT,INSR
50,NPR2,MAPK7,NMT1,MRPL2,NAPB,MTHFD2L,MRPS33,MAIP1,PPP6C,ITPR1
51,PAK1,MGAT5,NPC1L1,MRPS5,NME1,NEIL1,NDUFV1,MAN1C1,PRKAA1,JAK3
52,PARVB,MTOR,PEX16,MSN,NMT2,NPAS2,NNT,MAT1A,PRPF19,LIPA
53,PDP1,NDUFS4,PFAS,NAPA,NUP85,NUP205,P4HB,MDH2,PRPF38A,MAPK3
54,PDPK1,NNMT,POLG,NF1,PARK7,PABPC1,PAK2,MPC1,PSMC4,MLXIP
55,PGAM5,NOS3,POU1F1,NPC1,PAWR,PABPC3,PEMT,NDUFA5,PTGES3,MTHFD1L
56,PHB2,PABPC4,PPFIBP1,OGDH,PCSK2,PCBP2,PIK3C3,NPR1,RAB5A,MVK
57,POLA1,PAK3,PPP3CB,OGDHL,PDIA3,PDHA2,POLR3C,NRAS,RAB5B,NDUFB7
58,POLR1B,PDIA2,PRDX2,PDIA4,PIK3CA,PLAU,PRKAB1,NUP155,RAD50,NDUFS1
59,PPM1D,POLR3A,PRDX5,PDP2,PNMT,PLCB4,PRKAR2B,PCMT1,RAD51,NOP58
60,PPP3CC,PRELID1,PSMC2,POLR3D,PNPO,PPP3CA,PRKD3,PMS2,RCAN3,OPA1
61,PPP4R3A,PTEN,PSMC5,PPFIA1,PPFIBP2,PRKAA2,PRKG2,POLE3,RGS7,PARP1
62,PRDX3,QRSL1,PYGM,PPP4R3B,PRDX6,PRKAB2,PRKX,POLR3B,RHOT1,PCK1
63,PRELID3A,RHEB,RAB10,PRKAG1,PRKACB,PRKACA,PRPS1,PRKACG,RPIA,PER2
64,PRKG1,ROCK1,RAB5C,PSMC1,PRKAR2A,PRKD1,PSMB5,PRKAR1B,RPL3,PHB
65,PSMD14,ROCK2,RACK1,QPRT,PRKCQ,PRKN,PSMB8,RBBP5,RPLP0,PIK3CB
66,RALB,RPL23,RALA,RAB6A,PSMD11,PRMT1,PSMC3,RBMXL2,RPS15,PPFIA2
67,RBBP4,RPL26L1,RICTOR,RCAN1,PYGB,PRPS2,PYGL,RHOT2,RPS16,PPFIA3
68,RNGTT,RPL7A,RIMS1,RCL1,RABGGTA,PSMA4,RAB7A,RNASEH2A,RPS18,PPP4C
69,RRAGB,RPS26,RPL12,RGS6,RCN1,PTPA,RCAN2,RPL17,RPS6KB1,PRDX1
70,SGPL1,RPS27,RPL34,RPA1,RPL26,RBBP7,RGS12,RPL21,RPS7,PRKAR1A
71,SGPP1,RRAGC,RPS11,RPL19,RPL31,RDX,RPL10,RPL9,SCO1,PRKCD
72,SGTA,SEL1L,RPS12,RPL35,RPL35A,RPL10A,RPL10L,RPLP1,SDHAF2,RAB6B
73,SLC15A2,SIRT6,RPS23,RPL4,SCD,RPL13,RPL7,RPS14,SGCG,RBM38
74,SLC16A12,SIRT7,RPS3A,RPS4Y2,SDHB,RPS20,RPS15A,RPS3,SIGLEC9,RPL30
75,SLC20A1,SLC13A5,RRAGD,SDHA,SERPINE1,RPS6KB2,RPS8,RPS4X,SLC25A20,RPL37A
76,SLC25A15,SLC25A5,SIRT3,SDHC,SGCD,SBDS,RRAGA,RPS4Y1,SLC25A6,RPLP2
77,SLC27A2,SLC2A1,SLC13A3,SESN1,SH3RF1,SCD5,RRM2,RPSA,SLC7A5,RPS21
78,SLC27A4,SLC2A3,SLC16A3,SGK1,SIRT1,SESN2,SACM1L,SLC16A13,SOD1,RPS6
79,SLC27A5,SNAP25,SLC25A31,SIGLEC8,SLC15A1,SGPP2,SHC1,SLC16A2,SPTLC1,RRM1
80,SLC2A10,STUB1,SLC25A32,SIRT4,SLC25A14,SHMT1,SIGLEC7,SLC25A29,TAGLN2,SESN3
81,SLC2A8,STX1A,SLC2A12,SKP1,SLC25A17,SHMT2,SLC12A2,SLC2A6,TAT,SIGLEC12
82,SLC36A1,SUCLA2,SLC2A13,SLC13A1,SLC2A9,SLC25A16,SLC20A2,SLC32A1,TCIRG1,SLC12A1
83,SRSF11,SYNJ1,SLC2A2,SLC13A2,SLC6A4,SLC25A4,SLC27A6,SMC4,TERT,SLC16A7
84,STX2,TALDO1,SLC2A5,SLC16A10,SMARCA5,SLC2A14,SLC2A4,SOD2,TGFB1,SLC25A47
85,STX7,TBL1X,SLC36A2,SLC25A2,SOCS2,SNAP23,SLC2A7,SSRP1,TGFBR1,SMAD3
86,THUMPD1,TIAL1,SLC36A4,SLC27A1,SUPT4H1,SNX3,SLC66A1,STAM,TKT,SOAT2
87,TIA1,TOP1,STX1B,SMN2,TAOK1,STAM2,SMAD2,STX4,TOMM70,SUCLG2
88,TRIM9,UBE2H,SYMPK,SNF8,TBL1XR1,STK4,SMARCA1,SURF1,TP63,SYNJ2
89,TRIT1,UCP2,TAOK2,SQSTM1,TELO2,STX12,SOAT1,TCP1,TRNT1,TERF2
90,TUT7,UQCRFS1,TKTL2,TDO2,TOMM22,SUCLG1,STK3,TIMM17A,TSC2,TP53I3
91,TXN,UQCRH,TPM3,TIMM17B,TOP3B,TADA2B,TP53BP1,TMF1,TUFM,TPM1
92,UGCG,VCL,TPP2,TPM4,TSC1,TIMM23,TRAM1,UCKL1,TWF1,TPM2
93,UQCRB,VPS25,UQCRHL,UBE2M,TUSC3,TM7SF2,TSPO,UQCRC1,UBD,TSPAN8
94,UQCRQ,WASHC3,USP14,UCHL3,USP5,TOPORS,UQCRC2,VCP,UBE2N,USP22
95,USP13,WDR26,UTRN,USP3,WDR5,TRDMT1,USP2,VPS37D,VPS36,VPS16
96,VPS33A,WIPI1,WARS2,VANGL1,WDR5B,ULK2,WASHC1,YWHAE,VPS41,WWP1
97,WIPI2,XPOT,WDR59,VANGL2,XPA,UPF2,ZDHHC17,ZDHHC2,XRCC6,YWHAB
98,YARS2,YPEL5,XRCC5,XDH,ZMPSTE24,VPS37B,,,,
