,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7,labels_8,labels_9
42,ARRB1,COX4I1,ROCK2,DEGS2,PPFIBP1,RPLP0,ATP7B,PPFIA3,HNRNPA1,RPS15A
43,NNMT,CHD3,RALB,SLC12A1,RHEBL1,VPS37B,UCHL3,NRXN1,WASHC3,PSMD11
44,APLP2,RPL23,CDS2,NOB1,RPS26,PSMB5,RABGGTA,MRPS9,HCFC2,BECN1
45,PHB2,ATP6V0A1,COX4I2,ARRB2,MARS1,MAP2K1,PRKD1,PSMD14,POLR3B,SNF8
46,ARHGDIB,USP32,SLC13A3,SLC6A4,MLXIP,IFT140,SNAP23,ATG9A,EIF4A1,WIPI1
47,KRAS,MAP2K2,ADARB1,LHX1,RPL4,RPA1,GNAO1,PCSK2,SCO1,GRB2
48,VPS36,ATG4D,EIF1B,RPL19,CERS3,SLC13A2,MAP2K4,NAPB,ROCK1,RPL17-C18orf32
49,HNRNPA1L2,CYP2A6,UQCRC1,ARHGDIA,TELO2,CLTC,CBX1,TOMM22,CYP2A13,GNG7
50,SLC15A1,MDH1,IFT57,DYM,ATP2A1,FZR1,SUPT4H1,WDR5B,RPS11,CERS4
51,DCAF11,KYNU,SLC15A2,RPS15,ZNF646,LONP1,IMPACT,VEPH1,EIF2B4,CERS1
52,RPL10L,SNAP25,IFT122,TIMM44,RHOT1,RRM2,NARS1,NCBP2,RNF103-CHMP3,EIF3K
53,TRIM9,APP,PIK3CA,NDUFB7,NUP85,IFT172,UQCRFS1,MRPL1,COX5B,NAPA
54,PDPK1,ATP5PO,DNAJC19,DDX18,RPS16,RPL31,CYP2A7,NDUFS4,POLR1B,PRKD3
55,TAT,RPL3,GOLPH3,PLCB4,SYMPK,TOP1,CYP2F1,WIPI2,HNRNPA3,PPP4R3B
56,SLC13A5,TRNT1,SMN2,RBM39,RAB10,CCT8,ATG4B,HIBADH,VPS16,CERS6
57,TTC19,STXBP5L,SLC12A2,RCAN1,FEZ2,ITPR1,EEF1A2,RALA,IFT52,NOP58
58,MAPK7,RAB7A,SKP1,QARS1,CCT4,BRK1,UCKL1,OGDH,GNAS,ERBB4
59,PNMT,ABCC5,SLC36A3,LRIG1,MAT2A,ARIH2,CLTCL1,CCT6A,MAPK1,ACSL3
60,EEF2,LETM1,RARS1,EIF2B5,MRPS5,PRKCD,LRRN1,MLXIPL,PAK2,SYNJ1
61,GTF2F1,PPP3CA,ITPR3,PSMC2,IDH1,ACOX3,DENND6A,MDH2,HPGDS,ARL8B
62,DDX39A,MAPK9,RCAN2,CALU,YWHAB,PRKG2,CADPS,ELOC,AP3S1,TKT
63,ARPC2,RACK1,SYNJ2,NUP205,STK4,TARS1,RPL9,FABP12,SLC36A2,SLC2A2
64,PARVB,HUS1B,ZFAND2A,CUL1,CRYAA,NNT,SCD5,SLC25A32,FBXW11,CDS1
65,RAB5A,DDX39B,EIF3B,WWP1,LARS2,CNOT6,UQCRQ,VCP,INMT,TDO2
66,RPSA,RPS12,DAGLB,KDM4C,IFT80,BRD2,SLC36A1,TUT7,KRIT1,RPS23
67,SMC4,SGK1,CYCS,GNAQ,TRIP13,RIMS1,PSMB8,FBP1,MNX1,MTCH1
68,BCHE,LTV1,CBX3,BRD3,HSPA9,SESN1,RPL10A,RPL7A,RPL7,MRPL2
69,OPA1,IFT22,STX1A,GLUD2,TES,STXBP5,RNGTT,ATG4A,WASHC1,ACHE
70,RPS14,STK3,BUD31,AK2,FABP9,TCP1,EGFR,SLC25A5,AIFM1,PABPC1
71,EEF1A1,POLA1,AGPAT5,GPX7,AGO2,NDUFA5,VPS37D,CNGA2,SLC2A1,RCL1
72,RRAGD,RPL10,PPP3CC,RPS27,RRAGA,MRPS33,LRRN3,SLC2A5,GNAT2,ISCA1
73,AGMO,CYP4X1,PDP1,DNA2,SPTLC1,SLC25A37,RPS20,SYCP1,TPM3,WDR5
74,HNRNPA2B1,GNAI3,RPS6,SLC16A12,FBP2,PI15,RPL30,DUSP12,TAGLN2,HCCS
75,HUS1,AKR1C1,NPR2,RPLP2,ACSL4,TOP1MT,UGCG,ARF1,PM20D1,SLC25A33
76,SBDS,SLC25A16,ATXN3L,CYB5R2,PAK3,AP1S2,SLC27A4,NMT2,ADSS2,STX12
77,DLD,ZDHHC13,TIMM17B,SDHAF2,GDI1,MSN,ACE2,GOT1,AKR1C3,LBR
78,RHEB,HSPA8,MRTO4,USP5,IARS2,DHRS3,SLC2A7,ACTR1A,ATP5F1C,UPF2
79,ASH2L,ALG10B,RBBP4,PRKAG1,PRDX3,AKR1A1,AKR1E2,RBMXL2,FOLH1,RAB6A
80,CYC1,ADSS1,FH,SHMT2,RRM1,HSPA6,AKR1C4,NAALAD2,TWF1,DCUN1D5
81,EIF2S3,RPLP1,AKR1C2,XPOT,AMPD3,PRDX6,FEN1,USP2,DYNLL1,CS
82,RRAGB,GABARAPL2,TIAL1,SLC25A15,PSMC3,STAM,TCIRG1,WDHD1,IDH2,ING1
83,ATP7A,PEMT,SLC2A3,DCUN1D2,ACER3,SIRT3,PRMT8,HSPA2,ALDH1A3,SLC25A47
84,AP4B1,SHMT1,SLC16A7,NEMF,ZDHHC17,CCS,ATP6V0A2,TPM1,THUMPD1,EIF2AK4
85,WARS2,SLC16A5,MON2,TAOK2,SVOP,GABARAPL1,SGPP1,CHD2,STX4,USP3
86,CYB5R1,USP14,TPT1,RPL26,ALG5,DDX11,GPX2,MAPK3,CDC6,GPT2
87,TM7SF2,CNDP2,SUCLA2,PIK3C3,LCP1,ALG10,PSMC1,ABCC11,IMPA2,TVP23B
88,SLC2A14,SGTA,SEL1L,GNA15,CLN3,SLC2A13,ALDH1A2,GOT2,SLC66A2,VPS25
89,ARF3,YPEL5,PSMA4,RFX2,RPL13,STX2,DECR2,SLC16A13,PRDX2,SLC25A39
90,ALDH2,NFU1,PDIA2,PPAN,SLC2A4,SLC25A29,QPRT,USP22,UBE2M,DYNLL2
91,COQ5,TIA1,RAB5C,RNASEH2A,TADA2A,RAD51,PPP4C,TAOK1,SH3YL1,GNA13
92,ZDHHC20,THNSL2,NACA2,TPM4,RPS7,SLC27A2,APRT,PNPO,DPP4,PRKAR1A
93,RPL21,DBI,SLC25A41,GAPDHS,TP53I3,TVP23A,NMT1,NPC1,HAT1,GPX4
94,PDIA3,GPD2,ADA,PSMC4,GART,ATP2C2,SLC16A3,AP1M2,BCS1L,ACTR1B
95,WDR59,SGPP2,ALG12,SLC27A5,SACM1L,PSMC5,PRMT1,PGLS,ACSS1,RAB6C
96,PFAS,IDH3B,RAB6B,EIF5B,SUCLG2,SLC16A6,ATP6V1B1,SLC25A42,MAPK12,RAB6D
97,EIF4A3,USP13,ALG3,FAP,CHMP2B,PRELID3A,SUCLG1,MSH6,GPX1,HDLBP
98,P4HB,TADA2B,HNRNPDL,RPL37A,ATP2C1,ATP8B1,SLC20A1,PRELID3B,TOMM70,ACSS2
99,TSGA10,SLC2A9,GATB,SLC2A10,SLC25A31,AP1M1,SLC25A17,RPS21,SLC25A36,SLC32A1
100,GNAT1,SMARCA5,HSPA1L,DCUN1D1,RPS3A,MPV17L2,PRKAR2A,GNAZ,GPX5,PLS1
101,ATP10D,GPX8,RPS18,NAA11,NUP155,STAM2,TMF1,CYB5R3,MTHFD1L,TBL1XR1
102,CWH43,SGTB,SLC2A12,HSD17B4,PRELID1,ATIC,GSK3B,SLC25A20,PMS2,MAD2L1
103,PDHA2,SLC27A6,PRKAR1B,SLC25A48,HSPA1A,TWF2,RPL35A,GNAI2,NPC1L1,SDHA
104,CHD1,RPL26L1,GNA12,SNX3,MTO1,LSM6,PPAT,SLC25A2,AKR1B15,ZNF622
105,AMD1,MPC1,GNAI1,FIG4,QRSL1,BTF3,RPL34,ABCC10,AKR1D1,RAD50
106,GNAT3,DBNL,ATP6V1B2,IDNK,STX7,DPP6,HNRNPAB,PDIA4,IDO1,FBXO9
107,SLC25A40,ATP6V0A4,BIN3,POLE3,UBE2H,ALDH1B1,SLC16A10,ATP6V0D2,GPT,COQ3
108,FIS1,ZDHHC2,PRKACG,MAN1B1,TRAM1,PRKX,AKR1B10,PTPA,GNA14,AKR1B1
109,TUSC3,ELP3,ELP1,RBBP7,PPP6C,PRPS2,IDO2,TEX11,NAA35,TPM2
110,SLC20A2,TXNDC8,RPL35,USP27X,MAGT1,MPC1L,ALDH1A1,PRPS1,DDX3Y,TBL1X
111,SLC2A8,RPL12,SLC2A6,RPS4X,RPS4Y1,SLC16A2,PLS3,VBP1,RPS4Y2,ZDHHC15
112,SMARCA1,PDHA1,SLC25A6,IDH3G,,,,,,
