,Feature,Definition,Score,CR.Mean,NonCR.mean,pvalue,padjust,
20,ACSN2,MITOCHONDRIAL_METABOLISM,27.907,0.19% {21/110},0.1% {91/876},0.028,1,
21,INOH.30,Glycine.Serine.metabolism,27.326,0.02% {2/110},0.01% {9/876},0.552,1,
22,EHMN.2,TCA.cycle,27.326,0.02% {2/110},0.02% {20/876},0.736,1,
23,REACTOME.214,Ion.transport.by.P.type.ATPases,27.326,0.02% {2/110},0.01% {9/876},0.552,1,
24,REACTOME.166,RAB.GEFs.exchange.GTP.for.GDP.on.RABs,27.326,0.05% {5/110},0.01% {9/876},0.085,1,
25,PID.34,Sphingosine.1.phosphate..S1P.,26.744,0.1% {11/110},0% {2/876},9.55E-04,1,
26,PharmGKB.18,Busulfan_Pathway_Pharmacodynamics,26.744,0.04% {4/110},0% {2/876},0.061,1,
27,REACTOME.52,Deubiquitination,26.744,0.01% {1/110},0.04% {33/876},0.011,1,
28,WikiPathways.23,Ciliary.landscape,26.744,0.04% {4/110},0.03% {26/876},0.723,1,
29,Panther_Pathway.32,Insulin_IGF_pathway_MAP_kinase_cascade,26.163,0.03% {3/110},0.01% {9/876},0.289,1,
30,EHMN.16,Valine..leucine.and.isoleucine.degradation,26.163,0% {0/110},0.01% {10/876},0.002,1,
31,ACSN2.22,ER_STRESS,25.581,0% {0/110},0.02% {20/876},6.99E-06,0.01001667,
32,REACTOME.82,Opioid.Signalling,25.581,0.09% {10/110},0.01% {13/876},0.007,1,
33,ACSN2.5,WNT_CANONICAL,25.581,0.15% {17/110},0.04% {38/876},0.002,1,
34,REACTOME.232,G.protein.activation,25.581,0.07% {8/110},0% {2/876},0.006,1,
35,REACTOME.74,Metabolism.of.vitamins.and.cofactors,25,0.02% {2/110},0.03% {24/876},0.509,1,
36,stke.22,JNK.MAPK.Pathway,25,0.02% {2/110},0.01% {6/876},0.389,1,
37,REACTOME.269,GABA.B.receptor.activation,25,0.05% {6/110},0% {2/876},0.018,1,
38,REACTOME.238,TBC.RABGAPs,25,0.06% {7/110},0% {3/876},0.012,1,
39,REACTOME.9,Transport.of.small.molecules,24.419,0.18% {20/110},0.1% {86/876},0.031,1,
40,WikiPathways.18,Brain.Derived.Neurotrophic.Factor..BDNF..signaling,24.419,0.06% {7/110},0.03% {24/876},0.134,1,
41,WikiPathways.57,Glycolysis.and.Gluconeogenesis,24.419,0.09% {10/110},0.01% {8/876},0.004,1,
42,REACTOME.257,Insulin.receptor.recycling,24.419,0.04% {4/110},0.01% {5/876},0.093,1,
43,KEGG.180,Ubiquinone.and.other.terpenoid.quinone.biosynthesis,24.419,0.01% {1/110},0% {4/876},0.63,1,
44,REACTOME.367,Triglyceride.catabolism,24.419,0.01% {1/110},0% {4/876},0.63,1,
45,KEGG.179,Phenylalanine.metabolism,24.419,0% {0/110},0.01% {5/876},0.025,1,
46,REACTOME.85,DNA.Double.Strand.Break.Repair,24.419,0.01% {1/110},0.02% {21/876},0.156,1,
47,WikiPathways.80,TCA.Cycle..aka.Krebs.or.citric.acid.cycle.,24.419,0.01% {1/110},0.02% {14/876},0.493,1,
48,WikiPathways.193,Tryptophan.catabolism.leading.to.NAD..production,24.419,0% {0/110},0.01% {5/876},0.025,1,
49,REACTOME.99,PLC.beta.mediated.events,23.837,0.08% {9/110},0.01% {10/876},0.009,1,
50,WikiPathways.148,Vitamin.B12.Metabolism,23.837,0.05% {5/110},0% {4/876},0.044,1,
51,Spike.1,ATM.Signaling.Network,23.837,0.01% {1/110},0.03% {22/876},0.129,1,
52,PID.16,PAR1.mediated.thrombin.signaling.events,23.837,0.11% {12/110},0.01% {6/876},9.09E-04,1,
53,REACTOME.103,Signaling.by.Insulin.receptor,23.837,0.05% {6/110},0.01% {13/876},0.075,1,
54,KEGG.176,Propanoate.metabolism,23.837,0% {0/110},0.01% {7/876},0.008,1,
55,KEGG.144,Glutathione.metabolism,23.837,0.01% {1/110},0.01% {13/876},0.565,1,
56,Spike.2,Autophagy,23.837,0.09% {10/110},0.01% {13/876},0.007,1,
57,ACSN2.25,DNA_DAMAGE_RESPONSE,23.837,0.02% {2/110},0.01% {13/876},0.804,1,
58,REACTOME.45,SLC.mediated.transmembrane.transport,23.837,0.11% {12/110},0.03% {28/876},0.013,1,
59,IPAVS.17,perk,23.837,0% {0/110},0.01% {8/876},0.005,1,
60,Panther_Pathway.47,TCA_cycle,23.837,0% {0/110},0.01% {8/876},0.005,1,
61,ACSN2.35,METABOLIC,23.256,0.03% {3/110},0% {3/876},0.132,1,
62,REACTOME.231,FOXO.mediated.transcription,23.256,0.03% {3/110},0.01% {7/876},0.227,1,
63,ACSN2.20,RCD_GENES,23.256,0.05% {6/110},0.02% {18/876},0.13,1,
64,KEGG.133,Glycolysis...Gluconeogenesis,23.256,0.05% {5/110},0.01% {11/876},0.108,1,
65,KEGG.166,Alanine..aspartate.and.glutamate.metabolism,23.256,0.04% {4/110},0.01% {5/876},0.093,1,
66,KEGG.173,Collecting.duct.acid.secretion,23.256,0.03% {3/110},0% {4/876},0.153,1,
67,REACTOME.176,Energy.dependent.regulation.of.mTOR.by.LKB1.AMPK,23.256,0.06% {7/110},0.01% {6/876},0.018,1,
68,Panther_Pathway.55,Hypoxia_response_via_HIF_activation,23.256,0.02% {2/110},0% {3/876},0.257,1,
69,KEGG.73,Central.carbon.metabolism.in.cancer,23.256,0.05% {6/110},0.02% {19/876},0.143,1,
70,REACTOME.264,Transcriptional.Regulation.by.E2F6,23.256,0% {0/110},0.01% {9/876},0.003,1,
71,NetPath.2,TCR,23.256,0.01% {1/110},0.04% {34/876},0.008,1,
72,KEGG.12,FoxO.signaling,23.256,0.11% {12/110},0.04% {35/876},0.026,1,
73,REACTOME.16,Hemostasis,23.256,0.14% {15/110},0.06% {55/876},0.032,1,
74,REACTOME.58,Regulation.of.TP53.Activity,23.256,0.05% {5/110},0.03% {25/876},0.416,1,
75,REACTOME.167,Regulation.of.PTEN.gene.transcription,22.674,0.05% {6/110},0.01% {8/876},0.041,1,
76,SMPDB.104,Hyperinsulinism.Hyperammonemia.Syndrome,22.674,0.04% {4/110},0% {4/876},0.081,1,
77,KEGG.124,Epithelial.cell.signaling.in.Helicobacter.pylori.infection,22.674,0.03% {3/110},0.02% {14/876},0.486,1,
78,WikiPathways.174,Cori.Cycle,22.674,0.04% {4/110},0% {2/876},0.061,1,
79,KEGG.48,Tuberculosis,22.674,0.05% {6/110},0.03% {25/876},0.249,1,
80,KEGG.107,Mitophagy...animal,22.674,0.06% {7/110},0.01% {13/876},0.042,1,
81,PID.22,S1P3,22.674,0.1% {11/110},0.01% {5/876},0.001,1,
82,HumanCyc.10,gluconeogenesis,22.674,0.04% {4/110},0% {3/876},0.071,1,
83,HumanCyc.9,cysteine.biosynthesis,22.674,0.04% {4/110},0% {3/876},0.071,1,
84,REACTOME.242,mTORC1.mediated.signalling,22.674,0.05% {5/110},0.01% {5/876},0.051,1,
85,SMPDB.44,Disulfiram.Action.Pathway,22.674,0% {0/110},0.01% {10/876},0.002,1,
86,REACTOME.25,Intracellular.signaling.by.second.messengers,22.674,0.09% {10/110},0.05% {45/876},0.168,1,
87,ACSN2.7,DEATH_RECEPTOR,22.674,0.09% {10/110},0.05% {42/876},0.134,1,
88,ACSN2.8,STARVATION_AUTOPHAGY,22.674,0.11% {12/110},0.05% {40/876},0.041,1,
89,PID.67,IL8..and.CXCR2.mediated.signaling.events,22.674,0.05% {5/110},0% {4/876},0.044,1,
90,KEGG.143,GABAergic.synapse,22.674,0.07% {8/110},0.01% {6/876},0.01,1,
91,KEGG.9,Human.papillomavirus.infection,22.674,0.09% {10/110},0.04% {35/876},0.074,1,
92,KEGG.13,Apelin.signaling,22.674,0.14% {15/110},0.03% {30/876},0.003,1,
93,SMPDB.94,SMPDB,22.674,0.05% {5/110},0% {4/876},0.044,1,
94,SIGNOR2.0.5,SIGNOR.Autophagy,22.674,0.09% {10/110},0.01% {6/876},0.003,1,
95,KEGG.26,Glucagon.signaling,22.674,0.09% {10/110},0.03% {26/876},0.031,1,
96,SMPDB.97,4.Hydroxybutyric.Aciduria.Succinic.Semialdehyde.Dehydrogenase.Deficiency,22.674,0.04% {4/110},0% {4/876},0.081,1,
97,SMPDB.100,Glutamate.Metabolism,22.674,0.04% {4/110},0% {4/876},0.081,1,
98,REACTOME.112,Cooperation.of.PDCL..PhLP1..and.TRiC.CCT.in.G.protein.beta.folding,22.674,0.07% {8/110},0.01% {9/876},0.014,1,
99,PharmGKB.26,Oxidative_Stress_Regulatory_Pathway_Erythrocyte,22.674,0.03% {3/110},0% {2/876},0.114,1,
100,SMPDB.111,Succinic.semialdehyde.dehydrogenase.deficiency,22.674,0.04% {4/110},0% {4/876},0.081,1,
101,SMPDB.123,Fructose.1.6.diphosphatase.deficiency,22.674,0.04% {4/110},0% {2/876},0.061,1,
102,WikiPathways.82,Tryptophan.metabolism,22.674,0% {0/110},0.02% {15/876},1.02E-04,0.146166,
103,KEGG.127,PPAR.signaling,22.674,0.01% {1/110},0.02% {16/876},0.368,1,
104,KEGG.58,Cholinergic.synapse,22.093,0.07% {8/110},0.02% {20/876},0.052,1,
105,PID.72,S1P4,22.093,0.06% {7/110},0% {2/876},0.01,1,
106,KEGG.171,Apoptosis...multiple.species,22.093,0.02% {2/110},0.01% {5/876},0.341,1,
107,PID.18,Thromboxane.A2.receptor.signaling,22.093,0.06% {7/110},0.01% {11/876},0.033,1,
108,INOH.38,Methionine.Cysteine.metabolism,22.093,0.04% {4/110},0.01% {5/876},0.093,1,
109,WikiPathways.13,Ras.Signaling,22.093,0.05% {6/110},0.03% {28/876},0.319,1,
110,WikiPathways.100,Trans.sulfuration.and.one.carbon.metabolism,22.093,0.04% {4/110},0.01% {9/876},0.156,1,
111,Panther_Pathway.51,FAS_signaling,22.093,0.01% {1/110},0.01% {6/876},0.814,1,
112,BioCarta.16,bioactive.peptide.induced.signaling,22.093,0.03% {3/110},0.01% {9/876},0.289,1,
113,REACTOME.290,ADP.signalling.through.P2Y.purinoceptor.1,22.093,0.04% {4/110},0% {3/876},0.071,1,
114,SMPDB.86,Xanthinuria.type.I,22.093,0.02% {2/110},0.01% {8/876},0.494,1,
115,REACTOME.22,Neutrophil.degranulation,22.093,0.06% {7/110},0.06% {51/876},0.827,1,
116,REACTOME.202,Thrombin.signalling.through.proteinase.activated.receptors..PARs.,22.093,0.05% {6/110},0.01% {6/876},0.032,1,
117,BioCarta.66,cell.cycle..g1.s.check.point,22.093,0.01% {1/110},0.01% {5/876},0.721,1,
118,Panther_Pathway.14,PI_3.Kinase,22.093,0.08% {9/110},0.01% {12/876},0.012,1,
119,Spike.9,Apoptosis,22.093,0.02% {2/110},0.01% {10/876},0.612,1,
120,WikiPathways.102,Alpha.6.Beta.4.signaling,22.093,0.02% {2/110},0.01% {10/876},0.612,1,
121,WikiPathways.20,Chemokine.signaling,22.093,0.05% {5/110},0.03% {26/876},0.449,1,
122,REACTOME.15,Cellular.responses.to.stress,22.093,0.08% {9/110},0.07% {62/876},0.69,1,
123,BioCarta.28,role.of.erk5.in.neuronal.survival,22.093,0.02% {2/110},0.01% {9/876},0.552,1,
124,KEGG.178,Proximal.tubule.bicarbonate.reclamation,22.093,0.03% {3/110},0% {3/876},0.132,1,
125,KEGG.155,Drug.metabolism...cytochrome.P450,22.093,0.04% {4/110},0.01% {7/876},0.121,1,
126,PID.90,S1P5,22.093,0.05% {6/110},0% {0/876},0.014,1,
127,BioCarta.58,nerve.growth.factor.pathway..ngf.,22.093,0.01% {1/110},0.01% {6/876},0.814,1,
128,WikiPathways.84,BDNF.TrkB.Signaling,22.093,0.04% {4/110},0.01% {10/876},0.175,1,
129,systems.biology.org.4,adipocyte_v2.1,22.093,0.15% {17/110},0.09% {79/876},0.076,1,
130,BioCarta.2,mapkinase.signaling,22.093,0.02% {2/110},0.02% {15/876},0.938,1,
131,WikiPathways.73,IL.4.Signaling,22.093,0.01% {1/110},0.02% {15/876},0.427,1,
132,SMPDB.9,Congenital.lactic.acidosis,22.093,0.02% {2/110},0.02% {14/876},0.871,1,
133,SIGNOR2.0.4,SIGNOR.AC,22.093,0.01% {1/110},0.02% {15/876},0.427,1,
134,Panther_Pathway.45,Opioid_proopiomelanocortin,22.093,0.04% {4/110},0% {4/876},0.081,1,
135,WikiPathways.5,Angiopoietin.Like.Protein.8.Regulatory,22.093,0.12% {13/110},0.04% {32/876},0.011,1,
136,KEGG.25,Kaposi.sarcoma.associated.herpesvirus.infection,22.093,0.07% {8/110},0.04% {33/876},0.175,1,
137,KEGG.62,MicroRNAs.in.cancer,22.093,0.05% {5/110},0.03% {23/876},0.355,1,
138,REACTOME.126,Mitochondrial.biogenesis,22.093,0.04% {4/110},0.01% {12/876},0.219,1,
139,REACTOME.138,MyD88.cascade.initiated.on.plasma.membrane,22.093,0.01% {1/110},0.02% {14/876},0.493,1,
140,REACTOME.349,ERK.MAPK.targets,22.093,0.01% {1/110},0% {4/876},0.63,1,
141,REACTOME.152,Toll.Like.Receptor.3..TLR3..Cascade,22.093,0.01% {1/110},0.02% {14/876},0.493,1,
142,REACTOME.154,Toll.Like.Receptor.7.8..TLR7.8..Cascade,22.093,0.01% {1/110},0.02% {14/876},0.493,1,
143,WikiPathways.78,Folate.Metabolism,22.093,0.05% {5/110},0.01% {10/876},0.096,1,
144,WikiPathways.4,Insulin.Signaling,22.093,0.12% {13/110},0.04% {33/876},0.012,1,
145,SMPDB.101,Glycine.and.Serine.Metabolism,22.093,0.02% {2/110},0.01% {6/876},0.389,1,
146,SMPDB.105,Joubert.syndrome,22.093,0.03% {3/110},0.01% {5/876},0.175,1,
147,SMPDB.110,Sarcosinemia,22.093,0.02% {2/110},0.01% {6/876},0.389,1,
148,INOH.3,IL.7.signaling,22.093,0.06% {7/110},0.05% {41/876},0.492,1,
149,REACTOME.111,Chaperonin.mediated.protein.folding,22.093,0.07% {8/110},0.01% {9/876},0.014,1,
150,WikiPathways.153,Inhibition.of.exosome.biogenesis.and.secretion.by.Manumycin.A.in.CRPC.cells,22.093,0.03% {3/110},0.01% {5/876},0.175,1,
151,WikiPathways.2,PI3K.Akt.Signaling,22.093,0.1% {11/110},0.05% {40/876},0.069,1,
152,Panther_Pathway.54,5.Hydroxytryptamine_degredation,22.093,0.01% {1/110},0.01% {5/876},0.721,1,
153,REACTOME.98,Non.genomic.estrogen.signaling,22.093,0.05% {6/110},0.01% {13/876},0.075,1,
154,REACTOME.322,Growth.hormone.receptor.signaling,22.093,0.01% {1/110},0.01% {5/876},0.721,1,
155,REACTOME.320,Free.fatty.acids.regulate.insulin.secretion,22.093,0.04% {4/110},0% {2/876},0.061,1,
156,WikiPathways.188,Methylation,22.093,0.02% {2/110},0% {3/876},0.257,1,
157,SMPDB.138,Methionine.Adenosyltransferase.Deficiency,22.093,0.03% {3/110},0% {3/876},0.132,1,
158,SMPDB.139,Methionine.Metabolism,22.093,0.03% {3/110},0% {3/876},0.132,1,
159,KEGG.72,Apoptosis,22.093,0.02% {2/110},0.03% {23/876},0.562,1,
160,WikiPathways.179,Methionine.De.Novo.and.Salvage,22.093,0.03% {3/110},0% {3/876},0.132,1,
161,REACTOME.216,Plasma.lipoprotein.assembly..remodeling..and.clearance,22.093,0% {0/110},0.01% {11/876},8.87E-04,1,
162,SMPDB.140,Phosphoenolpyruvate.carboxykinase.deficiency.1..PEPCK1.,22.093,0.04% {4/110},0% {2/876},0.061,1,
163,SMPDB.129,Glycogenosis..Type.IB,22.093,0.04% {4/110},0% {2/876},0.061,1,
164,SignaLink2.0.1,JAK.STAT.core.,22.093,0.01% {1/110},0.01% {10/876},0.812,1,
165,WikiPathways.39,AMP.activated.Protein.Kinase..AMPK..Signaling,22.093,0.08% {9/110},0.02% {16/876},0.019,1,
166,REACTOME.236,Iron.uptake.and.transport,22.093,0.03% {3/110},0.01% {7/876},0.227,1,
167,WikiPathways.121,Pathways.Affected.in.Adenoid.Cystic.Carcinoma,22.093,0.02% {2/110},0.01% {9/876},0.552,1,
168,SIGNOR2.0,SIGNOR.MS,22.093,0.08% {9/110},0.02% {17/876},0.021,1,
169,REACTOME.63,Integration.of.energy.metabolism,22.093,0.09% {10/110},0.02% {19/876},0.015,1,
170,SMPDB.23,Leucine.Stimulation.on.Insulin.Signaling,22.093,0.05% {5/110},0.01% {6/876},0.058,1,
171,KEGG.137,p53.signaling,22.093,0.01% {1/110},0.02% {15/876},0.427,1,
172,REACTOME.109,Rab.regulation.of.trafficking,22.093,0.07% {8/110},0.01% {10/876},0.016,1,
173,KEGG.158,Tryptophan.metabolism,22.093,0% {0/110},0.01% {11/876},8.87E-04,1,
174,REACTOME.39,PIP3.activates.AKT.signaling,22.093,0.08% {9/110},0.04% {37/876},0.147,1,
175,REACTOME.50,Macroautophagy,22.093,0.14% {15/110},0.02% {20/876},8.87E-04,1,
176,REACTOME.221,Transcriptional.activation.of.mitochondrial.biogenesis,22.093,0.04% {4/110},0.01% {7/876},0.121,1,
177,WikiPathways.89,Integrated.Cancer,21.512,0% {0/110},0.02% {14/876},1.74E-04,0.249342,
178,REACTOME.164,Orc1.removal.from.chromatin,21.512,0% {0/110},0.02% {14/876},1.74E-04,0.249342,
179,REACTOME.162,Interleukin.17.signaling,21.512,0.01% {1/110},0.01% {13/876},0.565,1,
180,Spike.10,Nucleotide.excision.repair,21.512,0% {0/110},0.01% {11/876},8.87E-04,1,
181,REACTOME.161,Hedgehog.ligand.biogenesis,21.512,0% {0/110},0.02% {14/876},1.74E-04,0.249342,
182,PharmGKB.3,Metformin_Pathway_Pharmacodynamics,21.512,0.05% {6/110},0.01% {8/876},0.041,1,
183,INOH.27,IL.1.NFkB,21.512,0% {0/110},0.01% {13/876},2.99E-04,0.428467,
184,Panther_Pathway.25,p53_pathway_by_glucose_deprivation,21.512,0.05% {5/110},0.01% {9/876},0.085,1,
185,REACTOME.37,The.citric.acid..TCA..cycle.and.respiratory.electron.transport,21.512,0.05% {5/110},0.05% {44/876},0.823,1,
186,WikiPathways.113,Amyotrophic.lateral.sclerosis..ALS.,21.512,0.02% {2/110},0.01% {9/876},0.552,1,
187,WikiPathways.114,Endothelin,21.512,0.02% {2/110},0.01% {6/876},0.389,1,
188,KEGG.146,Amyotrophic.lateral.sclerosis..ALS.,21.512,0.02% {2/110},0.01% {11/876},0.674,1,
189,KEGG.142,Endocrine.and.other.factor.regulated.calcium.reabsorption,21.512,0.01% {1/110},0.01% {10/876},0.812,1,
190,IPAVS.10,non_canonical_Wnt_signaling,21.512,0% {0/110},0.01% {11/876},8.87E-04,1,
191,KEGG.148,Pyruvate.metabolism,21.512,0.03% {3/110},0.01% {10/876},0.324,1,
192,WikiPathways.3,MAPK.Signaling,21.512,0.02% {2/110},0.05% {45/876},0.026,1,
193,INOH.25,GPCR.Dopamine.D1like.receptor,21.512,0.01% {1/110},0.01% {10/876},0.812,1,
194,WikiPathways.115,Estrogen.signaling,21.512,0.01% {1/110},0.01% {7/876},0.909,1,
195,REACTOME.163,MAP.kinase.activation,21.512,0.01% {1/110},0.01% {13/876},0.565,1,
196,INOH.26,CD4.T.cell.receptor.signaling.JNK.cascade,21.512,0% {0/110},0.01% {13/876},2.99E-04,0.428467,
197,WikiPathways.88,IL.6.signaling,21.512,0.01% {1/110},0.01% {13/876},0.565,1,
198,REACTOME.165,Paradoxical.activation.of.RAF.signaling.by.kinase.inactive.BRAF,21.512,0% {0/110},0.02% {14/876},1.74E-04,0.249342,
199,WikiPathways.90,Interleukin.11.Signaling,21.512,0% {0/110},0.02% {14/876},1.74E-04,0.249342,
200,WikiPathways.86,Factors.and.pathways.affecting.insulin.like.growth.factor..IGF1..Akt.signaling,21.512,0.02% {2/110},0.01% {12/876},0.738,1,
201,SMPDB.24,Mercaptopurine.Action.Pathway,21.512,0.02% {2/110},0.01% {9/876},0.552,1,
202,WikiPathways.91,PI3K.AKT.mTOR.signaling.pathway.and.therapeutic.opportunities,21.512,0.05% {5/110},0.01% {9/876},0.085,1,
203,WikiPathways.1,VEGFA.VEGFR2.Signaling,21.512,0.08% {9/110},0.05% {43/876},0.232,1,
204,WikiPathways.93,Thymic.Stromal.LymphoPoietin..TSLP..Signaling,21.512,0.03% {3/110},0.01% {11/876},0.361,1,
205,SMPDB.22,Labetalol.Action.Pathway,21.512,0% {0/110},0.01% {11/876},8.87E-04,1,
206,Spike.7,Base.excision.and.single.strand.break.repair,21.512,0.02% {2/110},0.01% {12/876},0.738,1,
207,WikiPathways.94,Translation.Factors,21.512,0.02% {2/110},0.01% {12/876},0.738,1,
208,SMPDB.17,Mitochondrial.Electron.Transport.Chain,21.512,0.02% {2/110},0.01% {12/876},0.738,1,
209,SMPDB.25,Thioguanine.Action.Pathway,21.512,0.02% {2/110},0.01% {9/876},0.552,1,
210,REACTOME.170,Signaling.by.NTRK1..TRKA.,21.512,0.02% {2/110},0.01% {12/876},0.738,1,
211,REACTOME.169,SCF.beta.TrCP.mediated.degradation.of.Emi1,21.512,0% {0/110},0.02% {14/876},1.74E-04,0.249342,
212,EHMN.10,Androgen.and.estrogen.biosynthesis.and.metabolism,21.512,0.01% {1/110},0.01% {12/876},0.642,1,
213,INOH.1,VEGF,21.512,0.06% {7/110},0.05% {43/876},0.554,1,
214,EHMN.9,C21.steroid.hormone.biosynthesis.and.metabolism,21.512,0.01% {1/110},0.01% {13/876},0.565,1,
215,Panther_Pathway.34,Histamine_H1_receptor_mediated_signaling,21.512,0.03% {3/110},0.01% {8/876},0.257,1,
216,BioCarta.14,keratinocyte.differentiation,21.512,0% {0/110},0.02% {14/876},1.74E-04,0.249342,
217,REACTOME.148,TRAF6.mediated.induction.of.NFkB.and.MAP.kinases.upon.TLR7.8.or.9.activation,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
218,REACTOME.142,NIK...noncanonical.NF.kB.signaling,21.512,0% {0/110},0.02% {15/876},1.02E-04,0.146166,
219,REACTOME.141,MyD88.MAL.TIRAP..cascade.initiated.on.plasma.membrane,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
220,REACTOME.139,MyD88.dependent.cascade.initiated.on.endosome,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
221,BioCarta.34,growth.hormone.signaling,21.512,0.04% {4/110},0.01% {6/876},0.107,1,
222,BioCarta.36,influence.of.ras.and.rho.proteins.on.g1.to.s.transition,21.512,0.01% {1/110},0.01% {9/876},0.903,1,
223,BioCarta.37,phospholipase.c.epsilon,21.512,0% {0/110},0.01% {7/876},0.008,1,
224,BioCarta.38,roles.of..arrestin.dependent.recruitment.of.src.kinases.in.gpcr.signaling,21.512,0% {0/110},0.01% {7/876},0.008,1,
225,REACTOME.5,RNA.Polymerase.II.Transcription,21.512,0.15% {16/110},0.12% {106/876},0.492,1,
226,REACTOME.135,Degradation.of.beta.catenin.by.the.destruction.complex,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
227,REACTOME.133,DNA.Replication.Pre.Initiation,21.512,0% {0/110},0.02% {15/876},1.02E-04,0.146166,
228,PID.25,IGF1,21.512,0.02% {2/110},0.01% {13/876},0.804,1,
229,PID.24,BCR.signaling,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
230,PID.23,Angiopoietin.receptor.Tie2.mediated.signaling,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
231,OntoCancro.3,Chromosome.Stability,21.512,0.03% {3/110},0.01% {12/876},0.4,1,
232,NetPath.19,Oncostatin_M,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
233,NetPath.18,Ghrelin,21.512,0.03% {3/110},0.01% {12/876},0.4,1,
234,NetPath.17,Fibroblast.growth.factor.1,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
235,KEGG.140,Toll.like.receptor.signaling,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
236,EHMN.17,Xenobiotics.metabolism,21.512,0.01% {1/110},0.01% {9/876},0.903,1,
237,KEGG.138,Cortisol.synthesis.and.secretion,21.512,0.03% {3/110},0.01% {9/876},0.289,1,
238,HumanCyc.2,TCA.cycle,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
239,REACTOME.146,Switching.of.origins.to.a.post.replicative.state,21.512,0% {0/110},0.02% {15/876},1.02E-04,0.146166,
240,REACTOME.149,TRIF.TICAM1..mediated.TLR4.signaling,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
241,BioCarta.12,how.progesterone.initiates.the.oocyte.maturation,21.512,0.01% {1/110},0.01% {10/876},0.812,1,
242,REACTOME.150,Toll.Like.Receptor.10..TLR10..Cascade,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
243,WikiPathways.116,Ethanol.effects.on.histone.modifications,21.512,0.03% {3/110},0.01% {8/876},0.257,1,
244,BioCarta.11,actions.of.nitric.oxide.in.the.heart,21.512,0.02% {2/110},0.01% {12/876},0.738,1,
245,ACSN2.26,MITOCHONDRIA_OXIDATIVE_STRESS,21.512,0% {0/110},0.02% {14/876},1.74E-04,0.249342,
246,KEGG.149,Salmonella.infection,21.512,0.01% {1/110},0.01% {12/876},0.642,1,
247,stke.10,Hypoxia.Inducible.Factor.1..HIF.1..Pathway,21.512,0.02% {2/110},0.01% {13/876},0.804,1,
248,stke.9,Epidermal.Growth.Factor.Receptor.Pathway,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
249,REACTOME.40,SRP.dependent.cotranslational.protein.targeting.to.membrane,21.512,0.01% {1/110},0.05% {45/876},3.82E-04,0.547406,
250,WikiPathways.81,Toll.like.Receptor.Signaling,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
