"","Feature","Definition","Score","CR.Mean","NonCR.mean","pvalue","padjust"
"29","GO:0006914","autophagy",21.144,"9.65% {11/114}","2.38% {24/1010}",3.85e-05,0.0603295
"30","GO:0016236","macroautophagy",20.918,"8.77% {10/114}","2.38% {24/1010}",0.000241,0.377647
"31","GO:0034220","ion transmembrane transport",20.057,"5.26% {6/114}","1.78% {18/1010}",0.018,1
"32","GO:0070837","dehydroascorbic acid transport",19.973,"5.26% {6/114}","0% {0/1010}",1.65e-11,2.58555e-08
"33","GO:0022900","electron transport chain",19.426,"1.75% {2/114}","1.78% {18/1010}",0.5,1
"34","GO:0006629","lipid metabolic process",19.346,"3.51% {4/114}","7.23% {73/1010}",0.902,1
"35","GO:0006412","translation",19.243,"1.75% {2/114}","8.81% {89/1010}",0.993,1
"36","GO:0032259","methylation",18.306,"1.75% {2/114}","1.49% {15/1010}",0.5,1
"37","GO:1902004","positive regulation of amyloid-beta formation",18.216,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"38","GO:0032869","cellular response to insulin stimulus",18.044,"7.02% {8/114}","1.58% {16/1010}",0.000268,0.419956
"39","GO:0015755","fructose transmembrane transport",17.4,"4.39% {5/114}","0% {0/1010}",1.53e-09,2.39751e-06
"40","GO:0006508","proteolysis",17.393,"3.51% {4/114}","3.76% {38/1010}",0.5,1
"41","GO:0150104","transport across blood-brain barrier",17.356,"5.26% {6/114}","1.19% {12/1010}",0.002,1
"42","GO:0002181","cytoplasmic translation",17.152,"0.88% {1/114}","1.39% {14/1010}",0.507,1
"43","GO:0030168","platelet activation",16.688,"6.14% {7/114}","1.49% {15/1010}",0.001,1
"44","GO:0045454","cell redox homeostasis",16.475,"5.26% {6/114}","1.49% {15/1010}",0.007,1
"45","GO:1990830","cellular response to leukemia inhibitory factor",16.372,"2.63% {3/114}","0.99% {10/1010}",0.137,1
"46","GO:0043044","ATP-dependent chromatin remodeling",15.796,"3.51% {4/114}","0.2% {2/1010}",4.42e-05,0.0692614
"47","GO:0006520","cellular amino acid metabolic process",15.761,"1.75% {2/114}","0.5% {5/1010}",0.161,1
"48","GO:0007050","cell cycle arrest",15.039,"7.02% {8/114}","1.49% {15/1010}",0.000155,0.242885
"49","GO:0045722","positive regulation of gluconeogenesis",14.924,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"50","GO:0019216","regulation of lipid metabolic process",14.238,"0.88% {1/114}","0.99% {10/1010}",0.5,1
"51","GO:0006974","cellular response to DNA damage stimulus",14.172,"0.88% {1/114}","6.24% {63/1010}",0.983,1
"52","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway",14.075,"4.39% {5/114}","0.3% {3/1010}",7.28e-06,0.01140776
"53","GO:0006811","ion transport",13.307,"5.26% {6/114}","3.96% {40/1010}",0.339,1
"54","GO:0042593","glucose homeostasis",13.178,"7.02% {8/114}","1.19% {12/1010}",2.16e-05,0.0338472
"55","GO:0043542","endothelial cell migration",13.118,"2.63% {3/114}","0.5% {5/1010}",0.024,1
"56","GO:0043312","neutrophil degranulation",13.079,"6.14% {7/114}","5.05% {51/1010}",0.391,1
"57","GO:0008652","cellular amino acid biosynthetic process",12.776,"2.63% {3/114}","0.89% {9/1010}",0.109,1
"58","GO:0051289","protein homotetramerization",12.354,"1.75% {2/114}","0.79% {8/1010}",0.305,1
"59","GO:0006099","tricarboxylic acid cycle",12.02,"1.75% {2/114}","2.08% {21/1010}",0.5,1
"60","GO:0043066","negative regulation of apoptotic process",11.869,"13.16% {15/114}","5.25% {53/1010}",0.000814,1
"61","GO:0019346","transsulfuration",11.633,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"62","GO:0034599","cellular response to oxidative stress",11.546,"7.02% {8/114}","2.18% {22/1010}",0.003,1
"63","GO:0032024","positive regulation of insulin secretion",11.473,"2.63% {3/114}","0.4% {4/1010}",0.012,1
"64","GO:0061621","canonical glycolysis",11.363,"2.63% {3/114}","0% {0/1010}",1.31e-05,0.0205277
"65","GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c",11.25,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"66","GO:0000422","autophagy of mitochondrion",11.195,"5.26% {6/114}","0.99% {10/1010}",0.000611,0.957437
"67","GO:0007264","small GTPase mediated signal transduction",11.171,"1.75% {2/114}","0.69% {7/1010}",0.258,1
"68","GO:0006470","protein dephosphorylation",11.102,"0.88% {1/114}","1.68% {17/1010}",0.601,1
"69","GO:0009060","aerobic respiration",10.906,"1.75% {2/114}","1.19% {12/1010}",0.472,1
"70","GO:0006813","potassium ion transport",10.877,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"71","GO:0006536","glutamate metabolic process",10.87,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"72","GO:0045944","positive regulation of transcription by RNA polymerase II",10.767,"6.14% {7/114}","5.15% {52/1010}",0.41,1
"73","GO:0006488","dolichol-linked oligosaccharide biosynthetic process",10.715,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"74","GO:0015031","protein transport",10.556,"7.89% {9/114}","7.13% {72/1010}",0.457,1
"75","GO:0097352","autophagosome maturation",10.418,"2.63% {3/114}","0.4% {4/1010}",0.012,1
"76","GO:0019344","cysteine biosynthetic process",10.408,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"77","GO:0006096","glycolytic process",10.322,"2.63% {3/114}","0.2% {2/1010}",0.002,1
"78","GO:0006325","chromatin organization",10.289,"6.14% {7/114}","2.57% {26/1010}",0.032,1
"79","GO:0001508","action potential",10.268,"3.51% {4/114}","0.1% {1/1010}",4.43e-06,0.00694181
"80","GO:0051092","positive regulation of NF-kappaB transcription factor activity",10.267,"1.75% {2/114}","1.29% {13/1010}",0.5,1
"81","GO:0009267","cellular response to starvation",10.073,"6.14% {7/114}","1.09% {11/1010}",0.000117,0.183339
"82","GO:0090383","phagosome acidification",10.035,"3.51% {4/114}","0.5% {5/1010}",0.002,1
"83","GO:0006119","oxidative phosphorylation",9.761,"0.88% {1/114}","0.99% {10/1010}",0.5,1
"84","GO:0019343","cysteine biosynthetic process via cystathionine",9.749,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"85","GO:0019882","antigen processing and presentation",9.711,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"86","GO:0006487","protein N-linked glycosylation",9.676,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"87","GO:0006739","NADP metabolic process",9.619,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"88","GO:0046777","protein autophosphorylation",9.539,"5.26% {6/114}","1.88% {19/1010}",0.024,1
"89","GO:0019430","removal of superoxide radicals",9.495,"3.51% {4/114}","0.3% {3/1010}",0.000229,0.358843
"90","GO:0006090","pyruvate metabolic process",9.325,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"91","GO:0070814","hydrogen sulfide biosynthetic process",9.257,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"92","GO:0016310","phosphorylation",9.236,"11.4% {13/114}","6.93% {70/1010}",0.062,1
"93","GO:0071333","cellular response to glucose stimulus",9.1,"6.14% {7/114}","1.19% {12/1010}",0.000228,0.357276
"94","GO:0006886","intracellular protein transport",8.999,"2.63% {3/114}","3.86% {39/1010}",0.654,1
"95","GO:0098869","cellular oxidant detoxification",8.971,"3.51% {4/114}","1.49% {15/1010}",0.114,1
"96","GO:0006281","DNA repair",8.959,"0% {0/114}","4.46% {45/1010}",0.98,1
"97","GO:2000377","regulation of reactive oxygen species metabolic process",8.935,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"98","GO:0007417","central nervous system development",8.87,"2.63% {3/114}","0.79% {8/1010}",0.082,1
"99","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",8.722,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"100","GO:0071805","potassium ion transmembrane transport",8.624,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"101","GO:0032981","mitochondrial respiratory chain complex I assembly",8.566,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"102","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",8.422,"0.88% {1/114}","4.75% {48/1010}",0.953,1
"103","GO:0006120","mitochondrial electron transport, NADH to ubiquinone",8.384,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"104","GO:0045022","early endosome to late endosome transport",8.366,"3.51% {4/114}","0.4% {4/1010}",0.000789,1
"105","GO:0045732","positive regulation of protein catabolic process",8.346,"2.63% {3/114}","0.59% {6/1010}",0.039,1
"106","GO:0045947","negative regulation of translational initiation",8.325,"2.63% {3/114}","0.1% {1/1010}",0.000256,0.401152
"107","GO:0010628","positive regulation of gene expression",8.271,"2.63% {3/114}","5.64% {57/1010}",0.872,1
"108","GO:0070588","calcium ion transmembrane transport",8.137,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"109","GO:0032496","response to lipopolysaccharide",7.992,"5.26% {6/114}","0.99% {10/1010}",0.000611,0.957437
"110","GO:0006338","chromatin remodeling",7.991,"3.51% {4/114}","1.19% {12/1010}",0.059,1
"111","GO:0032006","regulation of TOR signaling",7.854,"2.63% {3/114}","0.4% {4/1010}",0.012,1
"112","GO:0006541","glutamine metabolic process",7.85,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"113","GO:0071456","cellular response to hypoxia",7.693,"5.26% {6/114}","1.19% {12/1010}",0.002,1
"114","GO:0007034","vacuolar transport",7.58,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"115","GO:0016032","viral process",7.563,"7.02% {8/114}","7.03% {71/1010}",0.5,1
"116","GO:0032008","positive regulation of TOR signaling",7.552,"3.51% {4/114}","0.59% {6/1010}",0.004,1
"117","GO:0008152","metabolic process",7.362,"3.51% {4/114}","2.77% {28/1010}",0.44,1
"118","GO:0006417","regulation of translation",7.252,"3.51% {4/114}","1.98% {20/1010}",0.233,1
"119","GO:0006086","acetyl-CoA biosynthetic process from pyruvate",7.177,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"120","GO:0030154","cell differentiation",7.058,"4.39% {5/114}","3.56% {36/1010}",0.429,1
"121","GO:0051260","protein homooligomerization",7.057,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"122","GO:0017148","negative regulation of translation",7.006,"2.63% {3/114}","0.69% {7/1010}",0.059,1
"123","GO:0043010","camera-type eye development",6.986,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"124","GO:0006816","calcium ion transport",6.985,"1.75% {2/114}","1.09% {11/1010}",0.433,1
"125","GO:0008284","positive regulation of cell population proliferation",6.942,"7.89% {9/114}","5.15% {52/1010}",0.157,1
"126","GO:0006744","ubiquinone biosynthetic process",6.836,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"127","GO:0007596","blood coagulation",6.826,"4.39% {5/114}","1.39% {14/1010}",0.024,1
"128","GO:0034198","cellular response to amino acid starvation",6.801,"3.51% {4/114}","1.19% {12/1010}",0.059,1
"129","GO:0006915","apoptotic process",6.794,"7.89% {9/114}","6.04% {61/1010}",0.283,1
"130","GO:0042493","response to drug",6.717,"7.89% {9/114}","3.47% {35/1010}",0.02,1
"131","GO:0040014","regulation of multicellular organism growth",6.678,"3.51% {4/114}","0.5% {5/1010}",0.002,1
"132","GO:0009887","animal organ morphogenesis",6.608,"1.75% {2/114}","0.99% {10/1010}",0.393,1
"133","GO:0010468","regulation of gene expression",6.573,"5.26% {6/114}","2.97% {30/1010}",0.15,1
"134","GO:0035264","multicellular organism growth",6.502,"1.75% {2/114}","0.79% {8/1010}",0.305,1
"135","GO:0006486","protein glycosylation",6.445,"0.88% {1/114}","1.19% {12/1010}",0.5,1
"136","GO:0045893","positive regulation of transcription, DNA-templated",6.413,"4.39% {5/114}","4.65% {47/1010}",0.5,1
"137","GO:0006874","cellular calcium ion homeostasis",6.369,"1.75% {2/114}","0.89% {9/1010}",0.35,1
"138","GO:0001525","angiogenesis",6.358,"3.51% {4/114}","1.39% {14/1010}",0.094,1
"139","GO:0046034","ATP metabolic process",6.323,"1.75% {2/114}","0.89% {9/1010}",0.35,1
"140","GO:0007155","cell adhesion",6.241,"1.75% {2/114}","2.18% {22/1010}",0.5,1
"141","GO:0006413","translational initiation",6.171,"1.75% {2/114}","5.54% {56/1010}",0.935,1
"142","GO:0007568","aging",6.152,"6.14% {7/114}","3.17% {32/1010}",0.085,1
"143","GO:0060158","phospholipase C-activating dopamine receptor signaling pathway",6.112,"2.63% {3/114}","0% {0/1010}",1.31e-05,0.0205277
"144","GO:0045821","positive regulation of glycolytic process",6.094,"3.51% {4/114}","0.4% {4/1010}",0.000789,1
"145","GO:0006631","fatty acid metabolic process",6.081,"1.75% {2/114}","2.87% {29/1010}",0.651,1
"146","GO:0016197","endosomal transport",6.08,"1.75% {2/114}","1.29% {13/1010}",0.5,1
"147","GO:0030182","neuron differentiation",6.033,"1.75% {2/114}","1.49% {15/1010}",0.5,1
"148","GO:0016575","histone deacetylation",5.962,"3.51% {4/114}","0.3% {3/1010}",0.000229,0.358843
"149","GO:0016579","protein deubiquitination",5.935,"0.88% {1/114}","3.47% {35/1010}",0.886,1
"150","GO:0006468","protein phosphorylation",5.885,"9.65% {11/114}","6.63% {67/1010}",0.157,1
"151","GO:0035556","intracellular signal transduction",5.798,"5.26% {6/114}","4.65% {47/1010}",0.477,1
"152","GO:0000165","MAPK cascade",5.783,"0.88% {1/114}","3.96% {40/1010}",0.919,1
"153","GO:0050796","regulation of insulin secretion",5.759,"3.51% {4/114}","1.39% {14/1010}",0.094,1
"154","GO:0007005","mitochondrion organization",5.759,"3.51% {4/114}","2.67% {27/1010}",0.415,1
"155","GO:0046718","viral entry into host cell",5.732,"1.75% {2/114}","0.79% {8/1010}",0.305,1
"156","GO:0007275","multicellular organism development",5.716,"4.39% {5/114}","3.66% {37/1010}",0.45,1
"157","GO:0001666","response to hypoxia",5.714,"4.39% {5/114}","1.39% {14/1010}",0.024,1
"158","GO:0014823","response to activity",5.6,"4.39% {5/114}","0.5% {5/1010}",0.000122,0.191174
"159","GO:0007032","endosome organization",5.56,"1.75% {2/114}","0.5% {5/1010}",0.161,1
"160","GO:0016239","positive regulation of macroautophagy",5.525,"3.51% {4/114}","0.4% {4/1010}",0.000789,1
"161","GO:0000122","negative regulation of transcription by RNA polymerase II",5.512,"4.39% {5/114}","4.06% {41/1010}",0.5,1
"162","GO:0006107","oxaloacetate metabolic process",5.476,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"163","GO:0006082","organic acid metabolic process",5.448,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"164","GO:0000183","rDNA heterochromatin assembly",5.433,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"165","GO:0031532","actin cytoskeleton reorganization",5.411,"1.75% {2/114}","0.69% {7/1010}",0.258,1
"166","GO:0042542","response to hydrogen peroxide",5.39,"5.26% {6/114}","0.59% {6/1010}",1.92e-05,0.0300864
"167","GO:0051897","positive regulation of protein kinase B signaling",5.357,"4.39% {5/114}","2.28% {23/1010}",0.146,1
"168","GO:0008340","determination of adult lifespan",5.339,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"169","GO:0042744","hydrogen peroxide catabolic process",5.336,"2.63% {3/114}","0.4% {4/1010}",0.012,1
"170","GO:0031295","T cell costimulation",5.234,"1.75% {2/114}","0.69% {7/1010}",0.258,1
"171","GO:0008202","steroid metabolic process",5.196,"1.75% {2/114}","2.18% {22/1010}",0.5,1
"172","GO:0042572","retinol metabolic process",5.147,"0% {0/114}","0.99% {10/1010}",0.706,1
"173","GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste",5.121,"2.63% {3/114}","0% {0/1010}",1.31e-05,0.0205277
"174","GO:0007204","positive regulation of cytosolic calcium ion concentration",5.016,"2.63% {3/114}","0.5% {5/1010}",0.024,1
"175","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway",4.99,"2.63% {3/114}","0.59% {6/1010}",0.039,1
"176","GO:0007409","axonogenesis",4.958,"1.75% {2/114}","0.5% {5/1010}",0.161,1
"177","GO:0048856","anatomical structure development",4.856,"2.63% {3/114}","0% {0/1010}",1.31e-05,0.0205277
"178","GO:0045324","late endosome to vacuole transport",4.824,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"179","GO:0008333","endosome to lysosome transport",4.806,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"180","GO:0033674","positive regulation of kinase activity",4.701,"2.63% {3/114}","0.59% {6/1010}",0.039,1
"181","GO:0019083","viral transcription",4.685,"0.88% {1/114}","4.46% {45/1010}",0.943,1
"182","GO:0007420","brain development",4.649,"2.63% {3/114}","2.18% {22/1010}",0.5,1
"183","GO:0016477","cell migration",4.622,"1.75% {2/114}","1.29% {13/1010}",0.5,1
"184","GO:0006357","regulation of transcription by RNA polymerase II",4.602,"3.51% {4/114}","3.56% {36/1010}",0.5,1
"185","GO:0007399","nervous system development",4.589,"0.88% {1/114}","3.17% {32/1010}",0.86,1
"186","GO:0014068","positive regulation of phosphatidylinositol 3-kinase signaling",4.539,"4.39% {5/114}","0.79% {8/1010}",0.002,1
"187","GO:0006614","SRP-dependent cotranslational protein targeting to membrane",4.519,"0.88% {1/114}","4.16% {42/1010}",0.93,1
"188","GO:0016192","vesicle-mediated transport",4.474,"1.75% {2/114}","3.76% {38/1010}",0.797,1
"189","GO:0048714","positive regulation of oligodendrocyte differentiation",4.472,"3.51% {4/114}","0% {0/1010}",1.42e-07,0.000222514
"190","GO:0071158","positive regulation of cell cycle arrest",4.438,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"191","GO:0071850","mitotic cell cycle arrest",4.417,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"192","GO:0007191","adenylate cyclase-activating dopamine receptor signaling pathway",4.346,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"193","GO:0021762","substantia nigra development",4.318,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"194","GO:0019852","L-ascorbic acid metabolic process",4.272,"2.63% {3/114}","0.1% {1/1010}",0.000256,0.401152
"195","GO:0000082","G1/S transition of mitotic cell cycle",4.235,"1.75% {2/114}","1.39% {14/1010}",0.5,1
"196","GO:0008285","negative regulation of cell population proliferation",4.191,"2.63% {3/114}","3.96% {40/1010}",0.671,1
"197","GO:0051603","proteolysis involved in cellular protein catabolic process",4.161,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"198","GO:0007049","cell cycle",4.155,"6.14% {7/114}","4.26% {43/1010}",0.247,1
"199","GO:1990253","cellular response to leucine starvation",4.147,"2.63% {3/114}","0.5% {5/1010}",0.024,1
"200","GO:0042176","regulation of protein catabolic process",4.138,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"201","GO:0043065","positive regulation of apoptotic process",4.133,"3.51% {4/114}","3.27% {33/1010}",0.5,1
"202","GO:0007603","phototransduction, visible light",4.118,"2.63% {3/114}","0% {0/1010}",1.31e-05,0.0205277
"203","GO:0042149","cellular response to glucose starvation",4.078,"4.39% {5/114}","0.69% {7/1010}",0.000799,1
"204","GO:0006511","ubiquitin-dependent protein catabolic process",4.052,"0.88% {1/114}","2.87% {29/1010}",0.828,1
"205","GO:0071230","cellular response to amino acid stimulus",4.05,"2.63% {3/114}","0.99% {10/1010}",0.137,1
"206","GO:0032868","response to insulin",4.022,"3.51% {4/114}","0.99% {10/1010}",0.032,1
"207","GO:0015867","ATP transport",4.013,"0% {0/114}","1.49% {15/1010}",0.81,1
"208","GO:0001973","G protein-coupled adenosine receptor signaling pathway",3.953,"2.63% {3/114}","0% {0/1010}",1.31e-05,0.0205277
"209","GO:0051301","cell division",3.946,"4.39% {5/114}","1.88% {19/1010}",0.079,1
"210","GO:1904263","positive regulation of TORC1 signaling",3.938,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"211","GO:0006108","malate metabolic process",3.822,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"212","GO:0006661","phosphatidylinositol biosynthetic process",3.819,"2.63% {3/114}","1.09% {11/1010}",0.168,1
"213","GO:2000378","negative regulation of reactive oxygen species metabolic process",3.805,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"214","GO:0048009","insulin-like growth factor receptor signaling pathway",3.761,"2.63% {3/114}","0.3% {3/1010}",0.005,1
"215","GO:0033572","transferrin transport",3.76,"2.63% {3/114}","0.69% {7/1010}",0.059,1
"216","GO:0006260","DNA replication",3.734,"0% {0/114}","2.48% {25/1010}",0.914,1
"217","GO:0006355","regulation of transcription, DNA-templated",3.718,"1.75% {2/114}","3.66% {37/1010}",0.784,1
"218","GO:0006397","mRNA processing",3.691,"0.88% {1/114}","3.27% {33/1010}",0.869,1
"219","GO:0032148","activation of protein kinase B activity",3.675,"2.63% {3/114}","0.5% {5/1010}",0.024,1
"220","GO:0043123","positive regulation of I-kappaB kinase/NF-kappaB signaling",3.648,"0.88% {1/114}","0.89% {9/1010}",0.5,1
"221","GO:0000302","response to reactive oxygen species",3.62,"2.63% {3/114}","0.4% {4/1010}",0.012,1
"222","GO:0000209","protein polyubiquitination",3.612,"0.88% {1/114}","2.38% {24/1010}",0.756,1
"223","GO:0009083","branched-chain amino acid catabolic process",3.573,"0% {0/114}","0.5% {5/1010}",0.504,1
"224","GO:0010506","regulation of autophagy",3.567,"2.63% {3/114}","0.99% {10/1010}",0.137,1
"225","GO:0045892","negative regulation of transcription, DNA-templated",3.519,"4.39% {5/114}","3.17% {32/1010}",0.339,1
"226","GO:0007626","locomotory behavior",3.517,"3.51% {4/114}","0.89% {9/1010}",0.022,1
"227","GO:0021983","pituitary gland development",3.51,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"228","GO:0033138","positive regulation of peptidyl-serine phosphorylation",3.505,"1.75% {2/114}","1.19% {12/1010}",0.472,1
"229","GO:0008380","RNA splicing",3.472,"0% {0/114}","2.67% {27/1010}",0.926,1
"230","GO:0043524","negative regulation of neuron apoptotic process",3.467,"4.39% {5/114}","1.78% {18/1010}",0.065,1
"231","GO:0007283","spermatogenesis",3.467,"2.63% {3/114}","2.48% {25/1010}",0.5,1
"232","GO:0009953","dorsal/ventral pattern formation",3.446,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"233","GO:0060548","negative regulation of cell death",3.432,"2.63% {3/114}","0.79% {8/1010}",0.082,1
"234","GO:0006997","nucleus organization",3.431,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"235","GO:0000398","mRNA splicing, via spliceosome",3.424,"0% {0/114}","2.57% {26/1010}",0.92,1
"236","GO:0007080","mitotic metaphase plate congression",3.424,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"237","GO:0001501","skeletal system development",3.421,"1.75% {2/114}","0.79% {8/1010}",0.305,1
"238","GO:0065003","protein-containing complex assembly",3.411,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"239","GO:0043687","post-translational protein modification",3.404,"1.75% {2/114}","3.37% {34/1010}",0.741,1
"240","GO:0034613","cellular protein localization",3.373,"1.75% {2/114}","0.5% {5/1010}",0.161,1
"241","GO:0006476","protein deacetylation",3.349,"2.63% {3/114}","0.3% {3/1010}",0.005,1
"242","GO:0043547","positive regulation of GTPase activity",3.339,"2.63% {3/114}","2.28% {23/1010}",0.5,1
"243","GO:0048511","rhythmic process",3.335,"6.14% {7/114}","2.08% {21/1010}",0.01,1
"244","GO:0000187","activation of MAPK activity",3.327,"4.39% {5/114}","1.68% {17/1010}",0.053,1
"245","GO:0098708","glucose import across plasma membrane",3.306,"2.63% {3/114}","0% {0/1010}",1.31e-05,0.0205277
"246","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",3.286,"1.75% {2/114}","2.67% {27/1010}",0.608,1
"247","GO:0046826","negative regulation of protein export from nucleus",3.271,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"248","GO:0051881","regulation of mitochondrial membrane potential",3.26,"2.63% {3/114}","0.79% {8/1010}",0.082,1
"249","GO:0003091","renal water homeostasis",3.248,"1.75% {2/114}","0.89% {9/1010}",0.35,1
"250","GO:0019933","cAMP-mediated signaling",3.246,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"251","GO:0034080","CENP-A containing nucleosome assembly",3.181,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"252","GO:0019058","viral life cycle",3.177,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"253","GO:0050805","negative regulation of synaptic transmission",3.163,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"254","GO:0039702","viral budding via host ESCRT complex",3.152,"0.88% {1/114}","0.3% {3/1010}",0.438,1
