,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7,labels_8,labels_9
34,SOAT2,RRAGC,EIF5AL1,PABPC3,GAPDH,NDUFS8,LIPK,IFT140,LIPM,GSTP1
35,GDF11,PABPC4,LIPA,UCHL3,EIF2S3B,MAGOHB,SSRP1,PDP2,CYP2C9,NNMT
36,RPS26,UQCRH,SCD,TRIM9,SLC15A1,ITPR2,FADS3,ATP6V0A1,CYP2C8,FEZ1
37,GLIPR1,FMO4,CYP2E1,RGS6,PSMB5,CERS5,ARHGDIB,SNF8,BTRC,BCAT1
38,PPFIA2,H3-3A,RCN1,SNAP23,TARS3,CBX5,UBE2N,PHB,EIF3F,RAB5B
39,DIS3,TALDO1,ARRB1,TUFM,ARHGDIG,POLR3B,SLC25A3,NME1,GTF2H1,MARS1
40,DCAF11,FADS1,TMEM135,ATP2A1,RPS15A,VPS37B,DNAJC15,CHMP6,MTCH2,IFT88
41,RABGGTA,BANF1,SESN3,RPA1,UQCRC2,RPL10L,STX1B,AFG3L2,PAK1,APEX1
42,DEGS2,PPFIA1,ACAT1,ARRB2,ABCC12,ERO1A,RPL23,NARS1,RDX,PRKD1
43,IDH3A,SLC36A4,RHEBL1,TTC19,COX4I1,SLC12A1,BECN1,TIMM44,PHB2,MAP2K1
44,NOB1,HNRNPA1,ATP5F1B,PNMT,CCT6B,CERS3,CBX1,EIF3K,VPS36,TELO2
45,MAPK7,LRIG3,MVK,SUPT4H1,LHX1,RHOT2,ARHGDIA,RRM2,PDPK1,GNAO1
46,CLTC,HNRNPA1L2,ATP2A2,DCXR,USP32,TAT,LSM7,MRPS5,PSMD11,CHD3
47,NUP85,EIF4A1,RPLP0,RPS15,WIPI1,ATP2A3,GNA11,PSMD14,LONP1,SCO1
48,GRB2,RHOT1,DHX37,UQCRFS1,CANT1,MAP2K4,FZR1,COX4I2,CYP2A7,IMPACT
49,ATP5F1A,RPL19,ATP7B,RPS16,ROCK1,SLC6A4,CERS1,YWHAB,PRKD3,DYM
50,EEF2,ERBB2,RBM23,CYP2A13,NDUFB7,GNAL,CYP2F1,UCKL1,NRXN1,RPL17-C18orf32
51,MAP2K2,GNG7,DICER1,IFT172,EXOSC5,RPL17,NOP58,ATP5PO,MDH1,GTF2F1
52,DDX39A,PPP4R3B,RPL4,CCT4,RPS11,NAPA,PCSK2,MAPK1,POLR1B,CERS4
53,COX5B,RNF103-CHMP3,ZNF646,MAT2A,MRPS9,ROCK2,TRNT1,ITPR1,DDX18,EIF2B4
54,ATG4B,ERBB4,SLC13A5,TOP1,CDS2,RAB10,LRRN1,IFT57,KYNU,SNAP25
55,EEF1A2,STK4,SLC13A2,IFT52,GNAS,ACSL3,BRK1,VEPH1,IDH1,SLC13A3
56,CADPS,RCAN1,ATG4D,RPSA,APP,VPS16,QARS1,NCBP2,ARPC2,SYNJ1
57,WDR5B,TOMM22,SLC27A1,TKT,RPL3,PLCB4,SMC4,TARS1,ATG9A,PRKCD
58,DNAJC19,ARL8B,CYP2A6,IFT80,EIF1B,CLTCL1,ABCC5,AP3S1,NAPB,LRIG1
59,MRPL1,RAB7A,SYMPK,BCHE,UQCRC1,PARVB,OPA1,SLC36A3,RBM39,SLC2A2
60,TRIP13,PIK3CA,PPFIA3,RRAGD,IFT122,RAB5A,ACOX3,SLC36A1,LARS2,SLC12A2
61,RPS23,LETM1,FEZ2,SGK1,SCD5,SLC15A2,MRPL2,MAPK9,ARIH2,HUS1B
62,SKP1,RPL9,RPL31,HNRNPA2B1,NNT,PRKG2,EEF1A1,RIMS1,STXBP5L,RPL10A
63,RARS1,CDS1,RALB,CCT6A,SLC36A2,RPS12,LTV1,STXBP5,PAK2,RALA
64,FBXW11,HPGDS,CERS6,MLXIPL,CNOT6,TCP1,EIF3B,CBX3,TDO2,OGDH
65,DDX39B,PPP3CA,HNRNPA3,FABP9,PSMB8,MDH2,DAGLB,STX1A,HSPA9,VPS37D
66,BRD2,SMN2,CRYAA,WWP1,RCAN2,RPS20,HIBADH,NDUFA5,RPS14,CALU
67,MTCH1,UQCRQ,CCT8,TOP1MT,SYNJ2,PI15,HUS1,AGPAT5,RACK1,VCP
68,INMT,ZFAND2A,ADARB1,BRD3,SBDS,RPL30,DLD,PPP3CC,ITPR3,UGCG
69,LRRN3,AGMO,DENND6A,WDR5,ACHE,STK3,MNX1,SLC25A37,WIPI2,HCCS
70,ASH2L,EGFR,EIF2B5,AIFM1,IFT22,RPS6,ELOC,SLC25A32,CYCS,AP1S2
71,FABP12,PSMC2,GOLPH3,MRTO4,NUP205,FBP2,RCL1,AGO2,KRIT1,POLA1
72,SPTLC1,PABPC1,NDUFS4,AK2,MRPS33,RRAGB,ATP7A,RRAGA,BUD31,TIMM17B
73,ATG4A,KDM4C,RNGTT,GPX7,CUL1,SLC25A5,CNGA2,PAK3,RHEB,MSN
74,SLC2A7,SLC27A4,SESN1,AKR1E2,PDP1,GNAT2,SLC25A33,PM20D1,RPL7,GDI1
75,TPM3,ACE2,TES,PRDX3,TUT7,DNA2,SYCP1,ARF1,CYC1,RBBP4
76,CCS,RPS27,GNAQ,ZDHHC13,FBP1,SIRT3,TAGLN2,FH,WASHC1,CYP4X1
77,SLC2A3,AKR1C2,ISCA1,SDHAF2,SLC2A5,RRM1,IARS2,TM7SF2,NPR2,HSPA6
78,SLC2A13,ACTR1A,ATXN3L,TCIRG1,STX12,RBMXL2,ADSS2,ACER3,RPL7A,AKR1C4
79,ZDHHC20,CYB5R2,ACSL4,USP2,SLC2A1,RAB6A,NMT2,PRMT8,EIF2S3,GOT1
80,ALG5,DCUN1D5,GLUD2,PRKAG1,AP4B1,USP5,SLC16A12,ALG10,DHRS3,ZDHHC17
81,SLC25A15,SLC2A14,RPL10,NEMF,DUSP12,ALG10B,FEN1,ARF3,PRDX6,ING1
82,CHD2,GABARAPL1,AKR1A1,HSPA2,CYB5R1,SHMT2,TWF1,ATP6V0A2,STAM,SGPP1
83,ALDH1A3,STX2,GNAI3,EIF2AK4,LBR,SVOP,CS,RPL21,HSPA8,THUMPD1
84,WDR59,DCUN1D2,WARS2,SLC27A2,AKR1C3,COQ5,MON2,SUCLA2,SLC16A7,SHMT1
85,PSMC5,GPX2,AKR1C1,PPP4C,ATP5F1C,TPT1,LCP1,PDIA3,ALDH2,CDC6
86,GNA13,PSMC1,UPF2,ABCC11,PSMC3,SLC25A47,WDHD1,ALDH1A2,USP3,NMT1
87,CNDP2,SLC25A29,SLC25A16,GABARAPL2,SEL1L,ADSS1,TPM1,DECR2,RPLP1,P4HB
88,GAPDHS,TVP23A,TIAL1,USP14,RAB5C,RAD51,CLN3,TAOK2,PDIA2,PRELID3A
89,UBE2M,MAPK3,RPLP2,AP1M2,DYNLL2,IDH2,STX4,VPS25,GOT2,ATP8B1
90,TIA1,PEMT,AMPD3,AP1M1,SLC16A6,PFAS,GPT2,SLC25A39,TVP23B,SGTA
91,SLC20A1,USP22,FOLH1,SLC27A5,IMPA2,RPL26,ATP2C2,PRKAR1A,TAOK1,TSGA10
92,IDH3B,TADA2A,NAALAD2,SH3YL1,GNA15,SLC16A3,APRT,NPC1,SLC16A5,STAM2
93,CYB5R3,PNPO,DDX11,RPS7,SLC25A41,SLC66A2,RPL13,PPAN,PIK3C3,SLC2A10
94,HNRNPDL,EIF4A3,XPOT,ATP6V1B1,TPM4,TP53I3,GPX4,PGLS,PRDX2,RPS21
95,GATB,RFX2,DYNLL1,ACSS2,PSMC4,YPEL5,SLC25A42,NFU1,MSH6,SACM1L
96,NUP155,RNASEH2A,PSMA4,PRKAR2A,THNSL2,RAB6D,GPD2,SUCLG1,ACSS1,GNAT1
97,BTF3,PRMT1,QPRT,PLS1,BCS1L,GNAI2,SLC32A1,ACTR1B,MAPK12,SLC25A36
98,CHD1,DBI,SLC16A13,LSM6,SLC25A20,TMF1,PRELID3B,DPP4,ATP2C1,TADA2B
99,SLC27A6,RAB6C,SLC2A4,SDHA,GPX1,GSK3B,GNAZ,FAP,DCUN1D1,SGTB
100,SLC25A48,ATIC,NACA2,HSD17B4,ATP10D,RAB6B,CHMP2B,SGPP2,RPS3A,RPL26L1
101,PRELID1,RPL37A,MPV17L2,HNRNPAB,RPL34,TBL1XR1,PPAT,SLC25A17,RAD50,HSPA1A
102,COQ3,HDLBP,EIF5B,RPS18,QRSL1,USP13,NAA11,ALG12,AMD1,FBXO9
103,STX7,ADA,HAT1,ABCC10,FIG4,MAD2L1,SLC25A31,SLC2A9,SLC16A10,MTO1
104,NPC1L1,TWF2,GART,SLC25A40,GNAT3,GPX8,SMARCA5,PDHA2,MPC1,SLC2A12
105,AKR1B15,TOMM70,SUCLG2,AKR1B1,FIS1,SLC25A2,ZNF622,SNX3,PRKAR1B,MTHFD1L
106,TPM2,ALG3,RPL35A,IDNK,ATP6V0A4,TUSC3,PMS2,DBNL,AKR1B10,GNA12
107,ALDH1B1,CWH43,GNAI1,TXNDC8,ZDHHC2,RPL12,PDIA4,UBE2H,AKR1D1,DPP6
108,ALDH1A1,GPX5,ELP3,POLE3,ATP6V1B2,PRKX,IDO1,BIN3,PTPA,ATP6V0D2
109,NAA35,HSPA1L,IDO2,SLC2A8,ELP1,SLC16A2,TRAM1,SLC20A2,MAN1B1,RPS4X
110,PDHA1,GPT,PRKACG,SLC2A6,RBBP7,PRPS1,GNA14,SLC25A6,MPC1L,VBP1
111,MAGT1,PPP6C,USP27X,PRPS2,PLS3,SMARCA1,RPL35,TBL1X,IDH3G,DDX3Y
112,RPS4Y1,RPS4Y2,TEX11,ZDHHC15,,,,,,
