,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7,labels_8,labels_9
15,CDS1,CLOCK,CBX3,BTRC,EEF1E1,CCT6A,CNGA2,CDKN1A,DCUN1D1,ATP6V1B2
16,CERS3,CNOT6,CDK5,CBX5,EIF4EBP2,CHMP2B,CYB5R1,CERS1,DCUN1D2,ATP7A
17,CHEK2,COQ2,CDS2,CCT6B,ERCC1,CNDP2,CYB5R3,CERT1,DENND6B,BCAT1
18,CLN3,COQ7,CERS5,CERS2,ERN1,COL1A1,CYP2A6,CHEK1,DHX9,BRK1
19,CS,COX5B,CERS6,COX4I2,FABP7,COX4I1,CYP2C18,CHMP6,ECI2,CASP2
20,CUL1,CTH,COQ3,CSH1,FADS2,CYP2C8,CYP2C9,CISD2,EIF2AK4,CAT
21,CYCS,CYB5R2,COQ5,DECR2,FBXO9,DDX39B,DEGS2,CYP2A13,EIF2B4,CDC6
22,DBI,DBNL,CRYAA,DHRS3,GABARAPL1,DHX37,DGAT1,CYP2F1,ELAVL1,CERS4
23,DCAF11,DEGS1,CTF1,DNAJC15,GDI1,EIF2B5,DIS3,DAGLA,ELP3,CHD3
24,DCUN1D5,DENND6A,CYP2E1,DUSP12,GNA12,EIF3A,FABP3,DNM1L,ERBB2,CYP4X1
25,DGKI,DGKZ,DAGLB,ELP1,GNAT2,EZH1,FIG4,DYNC2H1,ERCC4,DDX11
26,DMD,DLAT,DDX39A,ERCC2,GNG12,FBXW11,FMO2,EIF4EBP1,ERO1A,DDX18
27,DPP4,EIF1B,DICER1,FBP1,GOT2,FGF23,GART,EXOSC5,FABP12,DNA2
28,EEF1A1,ERBB3,DLD,FH,GPX4,FIS1,GH1,FADS1,FABP9,DYNLL1
29,EEF1A2,ERO1B,EIF2S3,FN1,GPX7,GCLM,GNAI2,FBP2,FZR1,DYNLL2
30,EEF2,FEN1,EIF3F,FOLH1,GRB2,GDF15,GNAT1,FMO3,GAPDHS,E4F1
31,EGFR,FGF21,EIF4A3,GABARAP,GTF2F1,GDI2,GNAT3,GAPDH,GCK,EIF3B
32,EIF4A1,FOXM1,EIF5B,GLIPR1,HNRNPD,GLUD1,GPD2,GHRH,GPT,EIF3K
33,EPS8,GNAQ,EZH2,GNMT,HSPG2,GNA11,GYS2,GNA13,HNRNPDL,EIF5A2
34,ERBB4,GNG7,FMO5,GOT1,HUS1B,GNAI1,HNRNPA1,GNAS,HRAS,ELAVL2
35,GLUD2,GPX1,FXN,GPX8,IFT122,GNAI3,HOOK3,GPT2,IDH3B,ELOC
36,GNAZ,HCCS,GABARAPL2,HAT1,IFT140,GPX2,HSD17B4,HNRNPA1L2,INSR,FADS3
37,GPD1,HOOK2,GDF11,HDAC2,IFT22,GSTP1,HSPA5,HSPA1L,INSRR,FMO4
38,GPX5,HSPA2,GHR,HOOK1,INMT,HDAC1,HTR1B,IFT52,ITPR2,GATB
39,IDH3G,HUS1,GIPC1,IFT57,JUND,HDLBP,KCNA3,IFT80,LTV1,GCLC
40,IDO1,IDH3A,GNA15,IGF1,LIPF,HELLS,MAP2K1,KYNU,MAD2L1,GNA14
41,ITGB1,IDNK,GNAL,IRS2,MAGOH,HIBADH,MAPK1,LARS2,MAN1A1,GNAO1
42,JAK2,ILK,GSK3B,JAK3,MAPK3,HNRNPA3,MAPK7,LRIG1,MAT2A,HCFC2
43,LMNA,ING1,GTF2H1,MLXIP,MCM2,HSPA6,MDH1,MAPK14,MPV17L2,HHAT
44,LSM7,ISCA1,GYS1,MSRA,MLXIPL,HSPA9,MIF,MDH2,MSH2,HSPA1A
45,MAGT1,KRAS,HNRNPA2B1,NCOR2,MSH6,IARS2,MPC1,MTHFD2L,MTCH1,IDH1
46,MAN1C1,LBR,HPGDS,NDUFA5,MTHFD2,IDH2,MRPS5,NAALAD2,NAPA,IGF1R
47,MAP2K4,LCP1,HSPA8,NNT,NADSYN1,IDO2,NDUFS4,NAPB,NCBP2,IRS1
48,MRPL24,LSM6,IMPA2,NPC1,NPR1,IFT172,NNMT,NDUFS8,NDUFV1,ITPR1
49,MTHFD1L,MAGOHB,KIN,P4HB,NRAS,IFT88,NUP85,NOP58,NF1,KIF17
50,MTOR,MAN1A2,KL,PABPC1,NUP205,ITPR3,OGDH,NPC1L1,NMT2,MAIP1
51,MVK,MAPK12,KRIT1,PCMT1,PARK7,JAK1,PARP1,OPA1,NOS3,MAN1B1
52,NDUFS1,MAPK8,LIPA,PDIA4,PARVB,KDM4C,PDHA2,PAK3,NUP155,MAP2K2
53,NEIL1,MAPK9,MAPK11,PGAM5,PNPO,LONP1,PDIA3,PAWR,PCK1,MRPL1
54,NME1,MRPS33,NOB1,PIK3CA,POLE3,MAPK10,PDPK1,PDHA1,POLR3C,MRPL2
55,NPR2,NMT1,PABPC3,PMS2,POLR1B,MAT1A,PHB,PPP4C,PPFIBP2,MRPS9
56,PAPPA,PPFIA3,PABPC4,POLR3D,POLR3A,MECR,POLG,PRDX2,PPP6C,MSN
57,PCBP1,PRDX1,PAK1,POU1F1,PPAT,MGAT5,POLR3B,PRKAR1A,PRKD1,NDUFB7
58,PDP2,PRDX6,PDP1,PPFIBP1,PPFIA1,MSTN,PPP4R3A,PRKAR1B,PRPS1,NPAS2
59,PFAS,PRELID1,PER2,PPP4R3B,PPFIA2,NDUFS2,PRKCQ,PRKAR2A,PSMA4,PAK2
60,PIK3C3,PRKAA2,PLCB4,PRKAG1,PPM1D,OGDHL,PRKG1,PSMB8,PSMB5,PCBP2
61,PLAU,PRKACA,PRELID3A,PTPA,PPP3CA,PCSK2,PRKG2,PTGES3,QPRT,PDIA2
62,PNMT,PRKACG,PRKAA1,RCL1,PPP3CB,PEMT,PRPF19,RAB10,RAB7A,PEX16
63,POLA1,PRKD3,PSMC3,RHEB,PRDX5,PGLS,PSMC1,RGS7,RABGGTA,PHB2
64,PPP3CC,PTEN,PYGM,RPL10L,PRKACB,PIK3CB,PSMD11,RHOT2,RACK1,PRMT1
65,PRKAR2B,RAD51,RPIA,RPL7,PRKCD,PRDX3,PSMD14,RIMS1,RALA,PYGL
66,PRKN,RBBP5,RPL3,RPLP1,PYGB,PRKAB1,RAB5A,RPL26L1,RALB,RAB5B
67,PRKX,RBBP7,RPL35,RPS12,QRSL1,PRKAB2,RAB6A,RPL34,RBBP4,RAB5C
68,PSMC4,RPLP2,RPL7A,RPS14,RAB6B,PRPF38A,RCAN3,RPL37A,RBM38,RCAN1
69,PSMC5,RPS27,RPS15,RPS6KB1,RGS12,PRPS2,RHOT1,RPS11,RCN1,RCAN2
70,RBMXL2,RPS3A,RPS18,RRAGA,RPL31,PSMC2,RPL10,RPS16,RICTOR,RDX
71,ROCK1,RPS4Y1,RPS26,SDHB,RPL35A,RAD50,RPS20,RRM2,RPL19,RNASEH2A
72,RPL12,RPSA,RPS4Y2,SESN3,RPLP0,RGS6,RPS23,SCO1,RPL21,RNGTT
73,RPL13,RRM1,SCD,SIGLEC7,RPS15A,RPA1,RPS3,SGCD,RPL26,ROCK2
74,RPL30,SHMT2,SERPINE1,SKP1,RPS8,RPL10A,RPS6KB2,SLC13A1,RPL4,RPL17
75,SACM1L,SIGLEC8,SGK1,SLC2A3,RRAGD,RPL23,RRAGC,SLC15A1,RPL9,RPS21
76,SDHC,SLC25A14,SGPP1,SLC32A1,SDHAF2,RPS4X,SESN1,SLC15A2,RPS6,SEL1L
77,SH3RF1,SLC25A20,SIRT3,SMARCA1,SLC13A3,RPS7,SGPL1,SLC16A3,RRAGB,SESN2
78,SIGLEC9,SLC25A4,SIRT4,SMARCA5,SLC16A10,SBDS,SHC1,SLC16A7,SDHA,SIRT6
79,SLC20A1,SLC27A2,SLC13A5,SMC4,SLC16A12,SCD5,SIRT1,SLC2A5,SGCG,SIRT7
80,SLC20A2,SLC2A13,SLC16A2,STAM2,SLC27A4,SGPP2,SLC12A2,SLC36A2,SGTA,SLC12A1
81,SLC25A29,SLC36A1,SLC25A2,STK3,SLC27A5,SHMT1,SLC16A13,SLC6A4,SIGLEC12,SLC25A32
82,SLC25A47,SLC36A4,SLC25A31,STX7,SLC2A14,SLC25A17,SLC25A16,SOD1,SLC13A2,SLC2A9
83,SLC2A1,SMN2,SLC2A6,TAT,SLC2A2,SLC25A5,SLC27A1,STK4,SLC25A15,SMAD3
84,SLC2A4,SOCS2,SYNJ2,TELO2,SNAP25,SLC2A10,SLC27A6,STX12,SLC25A6,SPTLC1
85,SLC2A7,SOD2,TBL1X,TIMM17B,SNF8,SLC2A12,SLC7A5,STX1B,SLC2A8,SSRP1
86,SNX3,SRSF11,TERT,TOMM22,STX1A,SLC66A1,SMAD2,TCP1,SOAT2,SUCLG1
87,SUPT4H1,SUCLA2,TKT,TOP3B,SUCLG2,SQSTM1,SNAP23,TDO2,SYNJ1,TIA1
88,TAGLN2,SURF1,TMF1,TSPO,TBL1XR1,STX4,SOAT1,TGFB1,TALDO1,TM7SF2
89,TAOK1,TADA2B,TOMM70,TUSC3,TERF2,TAOK2,STAM,TOPORS,TCIRG1,TSC1
90,THUMPD1,TIMM23,TP63,UBE2H,TIMM17A,TP53I3,STUB1,TP53BP1,TGFBR1,TSC2
91,TIAL1,TKTL2,TRIM9,UBE2M,TRDMT1,TPM4,STX2,TPM1,TPM3,UQCRH
92,TPP2,TOP1,TUT7,ULK2,UBE2N,UBD,SYMPK,TPM2,TRIT1,USP13
93,TRNT1,TXN,UCKL1,UQCRC1,UCHL3,UGCG,TUFM,TRAM1,TSPAN8,VCL
94,USP3,UPF2,UQCRHL,USP2,USP22,USP5,UCP2,TWF1,UQCRFS1,WASHC3
95,VPS41,UQCRC2,VCP,VANGL2,VPS36,WASHC1,UQCRB,UQCRQ,USP14,YPEL5
96,WDR59,VPS16,WDR26,VPS25,VPS37D,WIPI1,VPS33A,UTRN,WARS2,YWHAB
97,XPOT,WWP1,WIPI2,VPS37B,ZDHHC2,YARS2,XDH,VANGL1,WDR5,ZDHHC17
98,XRCC6,XRCC5,XPA,WDR5B,ZMPSTE24,YWHAE,,,,
